lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
musdev-utm,MB_31,ADS,ADS3,3,7.503,8.517,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS4,4,13.181,18,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS4,4,13.337,17.939,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS5,5,12.682,15.459,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS5,5,8.892,8.892,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS6,6,11.794,14.757,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS6,6,13.962,16.489,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS7,7,8.034,9.017,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS7,7,9.812,10.733,noerror,NA,NA
musdev-utm,MB_31,IDS,IDS8,8,9.406,10.451,noerror,NA,NA
musdev-utm,MB_31,ADS,ADS8,8,6.38,6.38,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS1,1,15.57,18,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS1,1,11.732,12.2,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS2,2,11.029,14.227,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS2,2,11.967,16.552,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS3,3,5.741,6.334,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS3,3,6.085,7.114,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS4,4,3.806,5.631,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS4,4,8.424,8.876,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS5,5,9.579,12.059,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS5,5,7.115,9.236,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS6,6,3.385,4.009,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS6,6,2.995,2.995,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS7,7,2.761,2.761,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS7,7,8.58,9.375,noerror,NA,NA
musdev-utm,MB_32,IDS,IDS8,8,2.886,2.886,noerror,NA,NA
musdev-utm,MB_32,ADS,ADS8,8,5.116,6.099,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS1,1,13.636,17.91,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS1,1,14.461,17.986,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS2,2,9.408,11.389,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS2,2,17.566,18,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS3,3,14.462,17.971,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS3,3,9.188,9.188,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS4,4,5.288,5.663,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS4,4,16.068,18,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS5,5,2.465,2.465,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS5,5,5.429,5.429,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS6,6,2.886,2.886,noerror,NA,NA
